year,zone,psr_type,generation_twh
2018,DE-LU,Biomass,10.26650306
2019,DE-LU,Biomass,39.655083045000005
2020,DE-LU,Biomass,40.238151205
2021,DE-LU,Biomass,38.52646279
2022,DE-LU,Biomass,38.026279255000006
2023,DE-LU,Biomass,37.467732107500005
2024,DE-LU,Biomass,36.454333735
2025,DE-LU,Biomass,36.105256620289666
2026,DE-LU,Biomass,12.382440828621
2018,DE-LU,Fossil Brown coal/Lignite,30.445706712499998
2019,DE-LU,Fossil Brown coal/Lignite,102.73162603749999
2020,DE-LU,Fossil Brown coal/Lignite,83.3762356475
2021,DE-LU,Fossil Brown coal/Lignite,98.1941413075
2022,DE-LU,Fossil Brown coal/Lignite,103.5258168875
2023,DE-LU,Fossil Brown coal/Lignite,77.8435472175
2024,DE-LU,Fossil Brown coal/Lignite,70.9861893975
2025,DE-LU,Fossil Brown coal/Lignite,67.16701377743749
2026,DE-LU,Fossil Brown coal/Lignite,24.4129602311525
2018,DE-LU,Fossil Coal-derived gas,0.77537805
2019,DE-LU,Fossil Coal-derived gas,1.9538852
2022,DE-LU,Fossil Coal-derived gas,0.000651375
2023,DE-LU,Fossil Coal-derived gas,4.7662431
2024,DE-LU,Fossil Coal-derived gas,4.64668364
2025,DE-LU,Fossil Coal-derived gas,4.148398541305
2026,DE-LU,Fossil Coal-derived gas,1.526397407695
2018,DE-LU,Fossil Gas,13.522185505000001
2019,DE-LU,Fossil Gas,54.865157095
2020,DE-LU,Fossil Gas,67.84179591750001
2021,DE-LU,Fossil Gas,60.33813703
2022,DE-LU,Fossil Gas,45.911535195
2023,DE-LU,Fossil Gas,51.173845075
2024,DE-LU,Fossil Gas,56.983439229999995
2025,DE-LU,Fossil Gas,60.60990875445892
2026,DE-LU,Fossil Gas,26.377308574833
2018,DE-LU,Fossil Hard coal,20.212735305
2019,DE-LU,Fossil Hard coal,47.81437967
2020,DE-LU,Fossil Hard coal,34.8734133425
2021,DE-LU,Fossil Hard coal,51.8403203675
2022,DE-LU,Fossil Hard coal,62.895337685
2023,DE-LU,Fossil Hard coal,39.749779947499995
2024,DE-LU,Fossil Hard coal,27.3372245975
2025,DE-LU,Fossil Hard coal,28.15909390154225
2026,DE-LU,Fossil Hard coal,12.94770665187675
2018,DE-LU,Fossil Oil,1.1055283375
2019,DE-LU,Fossil Oil,3.97176937
2020,DE-LU,Fossil Oil,3.7130757450000003
2021,DE-LU,Fossil Oil,3.21421268
2022,DE-LU,Fossil Oil,2.7883012574999997
2023,DE-LU,Fossil Oil,3.1481849925
2024,DE-LU,Fossil Oil,3.2431734825
2025,DE-LU,Fossil Oil,2.8175275323999998
2026,DE-LU,Fossil Oil,0.8470147827226666
2018,DE-LU,Geothermal,0.045578347500000005
2019,DE-LU,Geothermal,0.187126865
2020,DE-LU,Geothermal,0.1968822325
2021,DE-LU,Geothermal,0.209106225
2022,DE-LU,Geothermal,0.2031961775
2023,DE-LU,Geothermal,0.18979739499999998
2024,DE-LU,Geothermal,0.2125522175
2025,DE-LU,Geothermal,0.22293667323
2026,DE-LU,Geothermal,0.07296664774
2018,DE-LU,Hydro Pumped Storage,2.2962005225
2019,DE-LU,Hydro Pumped Storage,8.611244595
2020,DE-LU,Hydro Pumped Storage,10.8172367325
2021,DE-LU,Hydro Pumped Storage,8.26438468
2022,DE-LU,Hydro Pumped Storage,10.155911435
2023,DE-LU,Hydro Pumped Storage,10.1763226525
2024,DE-LU,Hydro Pumped Storage,10.390635855000001
2025,DE-LU,Hydro Pumped Storage,9.8936270134
2026,DE-LU,Hydro Pumped Storage,3.180469609725
